x1_m,y1_m,x2_m,y2_m,length_m
21.7500,8.8000,0.6505,8.8000,21.0995
5.1500,8.8000,5.1500,-3.8000,12.6000
19.2500,-8.1000,7.1000,-8.1000,12.1500
21.0250,-4.2500,10.3000,-4.2500,10.7250
-1.7500,6.0000,-1.7500,-4.7000,10.7000
17.4000,6.2500,17.4000,-4.2500,10.5000
0.6505,8.8000,0.6505,0.5265,8.2735
8.0500,-10.5500,1.2000,-10.5500,6.8500
0.6505,-0.7135,0.6505,-6.9000,6.1865
21.0250,1.2500,21.0250,-4.2500,5.5000
10.9900,6.0000,7.9500,6.0000,3.0400
10.7500,2.8750,8.1500,2.8750,2.6000
11.0340,-0.3000,8.5000,-0.3000,2.5340
14.4500,6.0000,12.2300,6.0000,2.2200
24.1500,2.0500,24.1500,0.3000,1.7500
12.7500,-0.3000,12.2740,-0.3000,0.4760
